window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
175,window_020,3326,3500,175,143,0,32,0.8171,0.0,0.1829,29,15,0,0.9062,0.4688,0.0312,t=<num> RESIDUAL_BURST_3340_1237 burst_zone,partial_residual_cluster
175,window_021,3501,3675,175,139,0,36,0.7943,0.0,0.2057,31,19,0,0.8611,0.5278,0.0278,t=<num> RESIDUAL_EDGE_3541_3356 edge_disturbance,stable_attached_residual
175,window_022,3676,3850,175,139,0,36,0.7943,0.0,0.2057,28,22,0,0.7778,0.6111,0.0278,t=<num> RESIDUAL_EDGE_3689_8354 edge_disturbance,stable_attached_residual
175,window_023,3851,4000,150,145,0,5,0.9667,0.0,0.0333,0,5,0,0.0,1.0,0.2,t=<num> RESIDUAL_EDGE_3912_3382 edge_disturbance,stable_attached_residual
200,window_001,1,200,200,167,0,33,0.835,0.0,0.165,29,20,0,0.8788,0.6061,0.0303,t=<num> RESIDUAL_BURST_0040_7405 burst_zone,stable_attached_residual
200,window_002,201,400,200,166,0,34,0.83,0.0,0.17,29,17,0,0.8529,0.5,0.0294,t=<num> RESIDUAL_BURST_0260_3790 burst_zone,stable_attached_residual
200,window_003,401,600,200,160,0,40,0.8,0.0,0.2,35,13,0,0.875,0.325,0.025,t=<num> RESIDUAL_EDGE_0416_7357 edge_disturbance,partial_residual_cluster
200,window_004,601,800,200,164,0,36,0.82,0.0,0.18,32,18,0,0.8889,0.5,0.0278,t=<num> RESIDUAL_EDGE_0682_8844 edge_disturbance,stable_attached_residual
200,window_005,801,1000,200,164,0,36,0.82,0.0,0.18,27,19,0,0.75,0.5278,0.0278,t=<num> RESIDUAL_EDGE_0829_1832 edge_disturbance,stable_attached_residual
200,window_006,1001,1200,200,164,0,36,0.82,0.0,0.18,32,20,0,0.8889,0.5556,0.0278,t=<num> RESIDUAL_EDGE_1102_5544 edge_disturbance,stable_attached_residual
200,window_007,1201,1400,200,162,0,38,0.81,0.0,0.19,30,24,0,0.7895,0.6316,0.0263,t=<num> RESIDUAL_EDGE_1205_2717 edge_disturbance,stable_attached_residual
200,window_008,1401,1600,200,176,0,24,0.88,0.0,0.12,22,8,0,0.9167,0.3333,0.0417,t=<num> RESIDUAL_BURST_1401_5355 burst_zone,partial_residual_cluster
200,window_009,1601,1800,200,174,0,26,0.87,0.0,0.13,18,14,0,0.6923,0.5385,0.0385,t=<num> RESIDUAL_BURST_1602_3215 burst_zone,stable_attached_residual
200,window_010,1801,2000,200,161,0,39,0.805,0.0,0.195,36,15,0,0.9231,0.3846,0.0256,t=<num> RESIDUAL_BURST_1801_1533 burst_zone,partial_residual_cluster
200,window_011,2001,2200,200,161,0,39,0.805,0.0,0.195,29,22,0,0.7436,0.5641,0.0256,t=<num> RESIDUAL_EDGE_2006_6013 edge_disturbance,stable_attached_residual
200,window_012,2201,2400,200,161,0,39,0.805,0.0,0.195,33,20,0,0.8462,0.5128,0.0256,t=<num> RESIDUAL_EDGE_2218_8672 edge_disturbance,stable_attached_residual
200,window_013,2401,2600,200,167,0,33,0.835,0.0,0.165,28,13,0,0.8485,0.3939,0.0303,t=<num> RESIDUAL_BURST_2463_4576 burst_zone,partial_residual_cluster
200,window_014,2601,2800,200,164,0,36,0.82,0.0,0.18,31,23,0,0.8611,0.6389,0.0278,t=<num> RESIDUAL_EDGE_2609_5715 edge_disturbance,stable_attached_residual
200,window_015,2801,3000,200,162,0,38,0.81,0.0,0.19,33,13,0,0.8684,0.3421,0.0263,t=<num> RESIDUAL_EDGE_2826_2042 edge_disturbance,partial_residual_cluster
