from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
200,250,5,5,stable,stable,5401-5800,5251-5750,350,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,5,6,stable,residual,5401-5800,5751-7000,50,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,6,6,residual,residual,5801-7000,5751-7000,1200,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,2,1,residual,middle,251-3500,1-350,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,2,2,residual,residual,251-3500,351-3500,3150,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,4,3,residual,stable,4751-5250,3501-4900,150,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,4,4,residual,residual,4751-5250,4901-5250,350,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,5,5,stable,stable,5251-5750,5251-5600,350,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,5,6,stable,residual,5251-5750,5601-7000,150,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
250,350,1,1,middle,middle,1-250,1-350,250,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,2,1,residual,middle,251-3500,1-350,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,3,3,stable,stable,3501-4750,3501-4900,1250,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,4,3,residual,stable,4751-5250,3501-4900,150,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,5,6,stable,residual,5251-5750,5601-7000,150,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,6,6,residual,residual,5751-7000,5601-7000,1250,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,7,7,stable,stable,7001-7250,7001-7314,250,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
250,350,8,7,residual,stable,7251-7314,7001-7314,64,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,6,2,residual,stable,5601-7000,3501-6000,400,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
350,500,6,3,residual,residual,5601-7000,6001-7000,1000,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
350,500,1,1,middle,residual,1-350,1-3500,350,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,2,1,residual,residual,351-3500,1-3500,3150,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,3,2,stable,stable,3501-4900,3501-6000,1400,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,4,2,residual,stable,4901-5250,3501-6000,350,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,5,2,stable,stable,5251-5600,3501-6000,350,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,6,2,residual,stable,5601-7000,3501-6000,400,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
350,500,7,4,stable,stable,7001-7314,7001-7314,314,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
500,750,2,1,stable,residual,3501-6000,1-3750,250,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
500,750,2,2,stable,stable,3501-6000,3751-6000,2250,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
500,750,3,3,residual,residual,6001-7000,6001-6750,750,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
500,750,3,4,residual,stable,6001-7000,6751-7314,250,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
500,750,1,1,residual,residual,1-3500,1-3750,3500,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
500,750,2,1,stable,residual,3501-6000,1-3750,250,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
500,750,3,4,residual,stable,6001-7000,6751-7314,250,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
500,750,4,4,stable,stable,7001-7314,6751-7314,314,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
750,1000,1,1,residual,residual,1-3750,1-3000,3000,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
750,1000,1,2,residual,stable,1-3750,3001-6000,750,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
750,1000,4,3,stable,residual,6751-7314,6001-7000,250,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
750,1000,4,4,stable,stable,6751-7314,7001-7314,314,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
750,1000,1,2,residual,stable,1-3750,3001-6000,750,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
750,1000,2,2,stable,stable,3751-6000,3001-6000,2250,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
750,1000,3,3,residual,residual,6001-6750,6001-7000,750,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
750,1000,4,3,stable,residual,6751-7314,6001-7000,250,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
1000,1500,3,3,residual,residual,6001-7000,6001-7314,1000,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
1000,1500,4,3,stable,residual,7001-7314,6001-7314,314,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
1000,1500,1,1,residual,residual,1-3000,1-3000,3000,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
1000,1500,2,2,stable,stable,3001-6000,3001-6000,3000,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
1500,2000,2,1,stable,residual,3001-6000,1-4000,1000,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
1500,2000,2,2,stable,stable,3001-6000,4001-6000,2000,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
1500,2000,1,1,residual,residual,1-3000,1-4000,3000,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
1500,2000,2,1,stable,residual,3001-6000,1-4000,1000,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
1500,2000,3,3,residual,residual,6001-7314,6001-7314,1314,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
2000,3000,1,1,residual,residual,1-4000,1-3000,3000,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
2000,3000,1,2,residual,stable,1-4000,3001-6000,1000,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
2000,3000,1,2,residual,stable,1-4000,3001-6000,1000,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
